Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","250","France","5510","Production","0114","Sorghum","2022","2022","t","210940","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0114","Sorghum","2023","2023","t","303990","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0114","Sorghum","2024","2024","t","447110","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","21631.01","Sunflower-seed oil, crude","2020","2020","t","472200","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","250","France","5510","Production","21631.01","Sunflower-seed oil, crude","2021","2021","t","531800","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","250","France","5510","Production","21631.01","Sunflower-seed oil, crude","2022","2022","t","593000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","250","France","5510","Production","21631.01","Sunflower-seed oil, crude","2023","2023","t","619600","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","250","France","5510","Production","01191","Triticale","2020","2020","t","1206560","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01191","Triticale","2021","2021","t","1736910","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01191","Triticale","2022","2022","t","1613730","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01191","Triticale","2023","2023","t","1646460","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01191","Triticale","2024","2024","t","1087820","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2020","2020","t","30181140","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2021","2021","t","36559450","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2022","2022","t","34632380","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2023","2023","t","35995570","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2024","2024","t","26606940","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","F1806","Beef and Buffalo Meat, primary","2020","2020","t","1434590","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","F1806","Beef and Buffalo Meat, primary","2021","2021","t","1424320","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","F1806","Beef and Buffalo Meat, primary","2022","2022","t","1361310","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","F1806","Beef and Buffalo Meat, primary","2023","2023","t","1301420","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","F1806","Beef and Buffalo Meat, primary","2024","2024","t","1298540","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","F1717","Cereals, primary","2020","2020","t","57085160","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","F1717","Cereals, primary","2021","2021","t","66877140","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","F1717","Cereals, primary","2022","2022","t","59927490","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","F1717","Cereals, primary","2023","2023","t","64240810","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","F1717","Cereals, primary","2024","2024","t","53553470","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","F1765","Meat, Total","2020","2020","t","5398452.13","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","F1765","Meat, Total","2021","2021","t","5363841.74","A","Official figure",""
