Categoría,R²,N,P1,P2,P3
snacks_sweets,0.633,1836,"sugars
(0.527)","energy_kcal
(0.420)","sat_fat
(0.396)"
ready_to_eat,0.425,1648,"energy_kcal
(0.578)","proteins
(0.462)","fiber
(0.413)"
dairy_eggs,0.552,1490,"sat_fat
(0.754)","sugars
(0.516)","salt
(0.186)"
fats_sauces,0.293,768,"salt
(0.438)","sugars
(0.411)","sat_fat
(0.328)"
beverage,0.258,527,"sugars
(0.650)","sat_fat
(0.247)","salt
(0.215)"
cereals_bread,0.665,535,"salt
(0.556)","sugars
(0.325)","fiber
(0.304)"
plant_based_alternatives,0.469,416,"sat_fat
(0.550)","salt
(0.492)","proteins
(0.428)"
meat_fish,0.632,316,"salt
(0.663)","sat_fat
(0.615)","proteins
(0.193)"
plant_based,0.469,115,"sugars
(0.647)","salt
(0.536)","energy_kcal
(0.330)"
