Categoría,R²,N,Predictor 1,Predictor 2,Predictor 3
snacks_sweets,0.633,1836,sugars_100g (0.527),energy-kcal_100g (0.420),saturated-fat_100g (0.396)
ready_to_eat,0.425,1648,energy-kcal_100g (0.578),proteins_100g (0.462),fiber_100g (0.413)
dairy_eggs,0.552,1490,saturated-fat_100g (0.754),sugars_100g (0.516),salt_100g (0.186)
fats_sauces,0.293,768,salt_100g (0.438),sugars_100g (0.411),saturated-fat_100g (0.328)
beverage,0.258,527,sugars_100g (0.650),saturated-fat_100g (0.247),salt_100g (0.215)
cereals_bread,0.665,535,salt_100g (0.556),sugars_100g (0.325),fiber_100g (0.304)
plant_based_alternatives,0.469,416,saturated-fat_100g (0.550),salt_100g (0.492),proteins_100g (0.428)
meat_fish,0.632,316,salt_100g (0.663),saturated-fat_100g (0.615),proteins_100g (0.193)
plant_based,0.469,115,sugars_100g (0.647),salt_100g (0.536),energy-kcal_100g (0.330)
