Category,Metric,Nutrient,Correlation,P-value,Significant
snacks_sweets,nutri_num,energy-kcal_100g,-0.44465094294496865,8.595309496840956e-71,True
snacks_sweets,nutri_num,fat_100g,-0.39186085483517674,5.1059869626879845e-54,True
snacks_sweets,nutri_num,saturated-fat_100g,-0.5926313506450543,3.513203090972214e-137,True
snacks_sweets,nutri_num,sugars_100g,-0.618712627183672,8.902180326094933e-153,True
snacks_sweets,nutri_num,fiber_100g,0.3014781404522086,1.279794352115486e-31,True
snacks_sweets,nutri_num,proteins_100g,0.1554531757702819,3.0677519037726323e-09,True
snacks_sweets,nutri_num,salt_100g,-0.09988123886807693,0.00014757732382313896,True
snacks_sweets,nova_group,energy-kcal_100g,0.0028605266660051967,0.9136644548637364,False
snacks_sweets,nova_group,fat_100g,0.025438058456149586,0.33490121324394895,False
snacks_sweets,nova_group,saturated-fat_100g,0.08893155430239165,0.0007319981211165609,True
snacks_sweets,nova_group,sugars_100g,0.25674119587917343,4.282951140964625e-23,True
snacks_sweets,nova_group,fiber_100g,-0.060065717072933324,0.02268968769693813,True
snacks_sweets,nova_group,proteins_100g,-0.08979084955987285,0.0006494623693546709,True
snacks_sweets,nova_group,salt_100g,0.11074629936557102,2.549489716186379e-05,True
snacks_sweets,eco_num,energy-kcal_100g,-0.3984307009589334,6.039075688319805e-56,True
snacks_sweets,eco_num,fat_100g,-0.4218975518875183,3.410982426328063e-63,True
snacks_sweets,eco_num,saturated-fat_100g,-0.5049293382665629,6.063571191018488e-94,True
snacks_sweets,eco_num,sugars_100g,-0.2843055912222532,3.681359377004248e-28,True
snacks_sweets,eco_num,fiber_100g,-0.12750908713578268,1.2187458145732025e-06,True
snacks_sweets,eco_num,proteins_100g,-0.15012695357716446,1.0499894660120227e-08,True
snacks_sweets,eco_num,salt_100g,0.11783169941446826,7.4091845408617615e-06,True
ready_to_eat,nutri_num,energy-kcal_100g,-0.30827474123510246,3.916416237564814e-27,True
ready_to_eat,nutri_num,fat_100g,-0.3145808675250355,3.04033503531098e-28,True
ready_to_eat,nutri_num,saturated-fat_100g,-0.37922103327032713,2.9938734322790055e-41,True
ready_to_eat,nutri_num,sugars_100g,-0.14143912229563677,1.2156711464921342e-06,True
ready_to_eat,nutri_num,fiber_100g,0.3257704272006154,2.7956926652724912e-30,True
ready_to_eat,nutri_num,proteins_100g,0.2482218140538163,7.354880362391671e-18,True
ready_to_eat,nutri_num,salt_100g,-0.4669871671300145,2.5850558748218825e-64,True
ready_to_eat,nova_group,energy-kcal_100g,-0.14458819776081178,6.96797370872727e-07,True
ready_to_eat,nova_group,fat_100g,-0.050905864726866014,0.08203048145068069,False
ready_to_eat,nova_group,saturated-fat_100g,-0.017545805403135176,0.5491397022760558,False
ready_to_eat,nova_group,sugars_100g,0.146821726618482,4.6615618488582945e-07,True
ready_to_eat,nova_group,fiber_100g,-0.09291418284820468,0.0014782731255199484,True
ready_to_eat,nova_group,proteins_100g,-0.20843961517735984,6.23784137932073e-13,True
ready_to_eat,nova_group,salt_100g,0.32994539076765483,4.617637576486559e-31,True
ready_to_eat,eco_num,energy-kcal_100g,-0.3117395522125781,9.69094518471017e-28,True
ready_to_eat,eco_num,fat_100g,-0.1645056638615592,1.5612381496729667e-08,True
ready_to_eat,eco_num,saturated-fat_100g,-0.25023337970889026,3.912699217769458e-18,True
ready_to_eat,eco_num,sugars_100g,-0.23013400837488251,1.6687546366573482e-15,True
ready_to_eat,eco_num,fiber_100g,-0.0819532400886992,0.005070011765359825,True
ready_to_eat,eco_num,proteins_100g,-0.22360427305232042,1.0601848860882436e-14,True
ready_to_eat,eco_num,salt_100g,0.13170788924262455,6.298362814374246e-06,True
dairy_eggs,nutri_num,energy-kcal_100g,-0.7894314879017003,1.4916121130299295e-130,True
dairy_eggs,nutri_num,fat_100g,-0.7318778710989099,5.023371899887096e-103,True
dairy_eggs,nutri_num,saturated-fat_100g,-0.710186454286233,1.9614726101792405e-94,True
dairy_eggs,nutri_num,sugars_100g,-0.26235437979828413,4.991861638814727e-11,True
dairy_eggs,nutri_num,fiber_100g,-0.2947452590521383,1.1873063072017406e-13,True
dairy_eggs,nutri_num,proteins_100g,0.1042932457409432,0.01007175919321384,True
dairy_eggs,nutri_num,salt_100g,-0.39085680978717835,1.2565551705457169e-23,True
dairy_eggs,nova_group,energy-kcal_100g,0.21545171119569476,8.106957256183816e-08,True
dairy_eggs,nova_group,fat_100g,0.11349883901017778,0.005080024201751181,True
dairy_eggs,nova_group,saturated-fat_100g,0.06949785806961228,0.08686009996201023,False
dairy_eggs,nova_group,sugars_100g,0.43368637810727184,2.8327069031073433e-29,True
dairy_eggs,nova_group,fiber_100g,0.3637627058318192,1.8518067382109083e-20,True
dairy_eggs,nova_group,proteins_100g,-0.04167979095196211,0.30486475114679573,False
dairy_eggs,nova_group,salt_100g,0.12284696212954768,0.0024102642437701448,True
dairy_eggs,eco_num,energy-kcal_100g,-0.5144113937244853,2.241274499562778e-42,True
dairy_eggs,eco_num,fat_100g,-0.5274282331674052,7.76941813529833e-45,True
